internet,popularity,title,year
http://www.metrolyrics.com/old-man-kensey-lyrics-rem.html,width:6%;,Old Man Kensey Lyrics,2006
http://www.metrolyrics.com/on-the-fly-lyrics-rem.html,width:6%;,On the Fly Lyrics,2016
http://www.metrolyrics.com/orange-crush-lyrics-rem.html,width:57.236716329075%;,Orange Crush Lyrics,2003
http://www.metrolyrics.com/out-of-time-lyrics-rem.html,width:6%;,Out Of Time Lyrics,2006
http://www.metrolyrics.com/pale-blue-eyes-lyrics-rem.html,width:6%;,Pale Blue Eyes Lyrics,2006
http://www.metrolyrics.com/parakeet-lyrics-rem.html,width:6%;,Parakeet Lyrics,2006
http://www.metrolyrics.com/passenger-lyrics-rem.html,width:6%;,Passenger Lyrics,2006
http://www.metrolyrics.com/perfect-circle-lyrics-rem.html,width:6%;,Perfect Circle Lyrics,2014
http://www.metrolyrics.com/permanent-vacation-lyrics-rem.html,width:6%;,Permanent Vacation Lyrics,2006
http://www.metrolyrics.com/photograph-lyrics-rem.html,width:6%;,Photograph Lyrics,2006
http://www.metrolyrics.com/pilgrimage-lyrics-rem.html,width:6%;,Pilgrimage Lyrics,2006
http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,width:21.755319103969%;,Pop Song 89 Lyrics,2011
http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,width:13.726078121136%;,Pretty Persuasion Lyrics,2006
http://www.metrolyrics.com/psa-aka-bad-day-lyrics-rem.html,width:6%;,Psa (a.k.a. Bad Day) Lyrics,2006
http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,width:50.792524653759%;,Radio Free Europe Lyrics,2011
http://www.metrolyrics.com/radio-song-lyrics-rem.html,width:13.726078121136%;,Radio Song Lyrics,2014
http://www.metrolyrics.com/revolution-lyrics-rem.html,width:6%;,Revolution Lyrics,2006
http://www.metrolyrics.com/rockville-lyrics-rem.html,width:6%;,Rockville Lyrics,2006
http://www.metrolyrics.com/romance-lyrics-rem.html,width:6%;,Romance Lyrics,2006
http://www.metrolyrics.com/rotary-11-lyrics-rem.html,width:6%;,Rotary 11 Lyrics,2014
http://www.metrolyrics.com/rotary-ten-lyrics-rem.html,width:6%;,Rotary Ten Lyrics,2008
http://www.metrolyrics.com/sad-professor-lyrics-rem.html,width:6%;,Sad Professor Lyrics,2014
http://www.metrolyrics.com/saturn-return-lyrics-rem.html,width:6%;,Saturn Return Lyrics,2006
http://www.metrolyrics.com/second-guessing-lyrics-rem.html,width:6%;,Second Guessing Lyrics,2006
http://www.metrolyrics.com/see-no-evil-lyrics-rem.html,width:6%;,See No Evil Lyrics,2006
http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,width:79.712207337326%;,Selingkar Kasih Lyrics,2010
http://www.metrolyrics.com/seven-chinese-brothers-lyrics-rem.html,width:6%;,Seven Chinese Brothers Lyrics,2006
http://www.metrolyrics.com/shaking-through-lyrics-rem.html,width:31.870966422084%;,Shaking Through Lyrics,2006
http://www.metrolyrics.com/she-just-wants-to-be-lyrics-rem.html,width:6%;,She Just Wants To Be Lyrics,2006
http://www.metrolyrics.com/sheherazade-lyrics-rem.html,width:6%;,Sheherazade Lyrics,2006
http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,width:43.510638207939%;,Shiny Happy People Lyrics,2011
http://www.metrolyrics.com/sing-for-the-submarine-lyrics-rem.html,width:6%;,Sing For The Submarine Lyrics,2008
http://www.metrolyrics.com/sitting-still-lyrics-rem.html,width:6%;,Sitting Still Lyrics,2011
http://www.metrolyrics.com/so-fast-so-numb-lyrics-rem.html,width:6%;,"So Fast, So Numb Lyrics",2006
http://www.metrolyrics.com/so-central-rain-lyrics-rem.html,width:13.726078121136%;,So. Central Rain Lyrics,2011
http://www.metrolyrics.com/so-central-rain-im-sorry-lyrics-rem.html,width:6%;,So. Central Rain (I'm Sorry) Lyrics,2016
http://www.metrolyrics.com/southern-central-rain-im-sorry-lyrics-rem.html,width:6%;,Southern Central Rain Lyrics,2007
http://www.metrolyrics.com/sponge-lyrics-rem.html,width:6%;,Sponge Lyrics,2006
http://www.metrolyrics.com/stand-lyrics-rem.html,width:31.870966422084%;,Stand Lyrics,2003
http://www.metrolyrics.com/star-69-lyrics-rem.html,width:6%;,Star 69 Lyrics,2006
http://www.metrolyrics.com/star-me-kitten-lyrics-rem.html,width:6%;,Star Me Kitten Lyrics,2006
http://www.metrolyrics.com/staring-down-the-barrel-of-the-middle-distance-lyrics-rem.html,width:6%;,Staring Down the Barrel of the Middle Distance Lyrics,2016
http://www.metrolyrics.com/strange-lyrics-rem.html,width:6%;,Strange Lyrics,2008
http://www.metrolyrics.com/strange-wire-lyrics-rem.html,width:21.755319103969%;,Strange (wire) Lyrics,2008
http://www.metrolyrics.com/strange-currencies-lyrics-rem.html,width:35.481397225105%;,Strange Currencies Lyrics,2006
http://www.metrolyrics.com/stumble-lyrics-rem.html,width:6%;,Stumble Lyrics,2006
http://www.metrolyrics.com/summer-turns-to-high-lyrics-rem.html,width:6%;,Summer Turns To High Lyrics,2006
http://www.metrolyrics.com/superman-lyrics-rem.html,width:27.452156242272%;,Superman Lyrics,2006
http://www.metrolyrics.com/supernatural-superserious-lyrics-rem.html,width:6%;,Supernatural Superserious Lyrics,2008
http://www.metrolyrics.com/suspicion-lyrics-rem.html,width:6%;,Suspicion Lyrics,2006
http://www.metrolyrics.com/swan-swan-h-lyrics-rem.html,width:6%;,Swan Swan H Lyrics,2006
http://www.metrolyrics.com/swan-swan-hummingbird-lyrics-rem.html,width:6%;,Swan Swan Hummingbird Lyrics,2014
http://www.metrolyrics.com/sweetness-follows-lyrics-rem.html,width:21.755319103969%;,Sweetness Follows Lyrics,2006
http://www.metrolyrics.com/tainted-obligation-lyrics-rem.html,width:6%;,Tainted Obligation Lyrics,2006
http://www.metrolyrics.com/talk-about-the-passion-lyrics-rem.html,width:21.755319103969%;,Talk About The Passion Lyrics,2011
http://www.metrolyrics.com/texarcana-lyrics-rem.html,width:6%;,Texarcana Lyrics,2016
http://www.metrolyrics.com/texarkana-lyrics-rem.html,width:6%;,Texarkana Lyrics,2006
http://www.metrolyrics.com/texarnaka-lyrics-rem.html,width:6%;,Texarnaka Lyrics,2006
http://www.metrolyrics.com/that-beat-lyrics-rem.html,width:6%;,That Beat Lyrics,2006
http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html,width:13.726078121136%;,That Someone Is You Lyrics,2011
http://www.metrolyrics.com/the-after-hours-lyrics-rem.html,width:6%;,The After Hours Lyrics,2006
http://www.metrolyrics.com/the-apologist-lyrics-rem.html,width:6%;,The Apologist Lyrics,2006
http://www.metrolyrics.com/the-ascent-of-man-lyrics-rem.html,width:6%;,The Ascent of Man Lyrics,2004
http://www.metrolyrics.com/the-boy-in-the-well-lyrics-rem.html,width:6%;,The Boy In The Well Lyrics,2004
http://www.metrolyrics.com/the-final-straw-lyrics-rem.html,width:6%;,The Final Straw Lyrics,2004
http://www.metrolyrics.com/the-flowers-of-guatemala-lyrics-rem.html,width:6%;,The Flowers of Guatemala Lyrics,2006
http://www.metrolyrics.com/the-great-beyond-lyrics-rem.html,width:6%;,The Great Beyond Lyrics,2003
http://www.metrolyrics.com/the-lifting-lyrics-rem.html,width:13.726078121136%;,The Lifting Lyrics,2006
http://www.metrolyrics.com/the-lion-sleeps-tonight-lyrics-rem.html,width:6%;,The Lion Sleeps Tonight Lyrics,2006
http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,width:91.391130959295%;,The One I Love Lyrics,2008
http://www.metrolyrics.com/the-outsiders-lyrics-rem.html,width:6%;,The Outsiders Lyrics,2004
http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,width:73.049200785492%;,The Sidewinder Sleeps Tonight Lyrics,2006
http://www.metrolyrics.com/the-sidewinder-sleeps-tonite-lyrics-rem.html,width:35.481397225105%;,The Sidewinder Sleeps Tonite Lyrics,2003
